0;6935;5950
1;5991;7431
2;1895;1422
3;2157;4018
4;3042;2401
5;4804;4373
6;707;6601
7;4608;4674
8;506;1141
9;2075;3362
10;1731;4796
11;4227;2204
12;5449;5140
13;2571;6192
14;7112;7933
15;2186;5584
16;1032;1052
17;4034;2044
18;416;7124
19;5873;4378
20;4954;1241
21;4266;6855
22;2433;3787
23;7145;1142
24;230;3649
25;2058;3060
26;1289;3116
27;6330;2381
28;2192;3115
29;2851;4315
30;6054;4778
31;2294;4996
32;2693;763
33;4207;5783
34;222;2097
35;7559;6326
36;4086;6417
37;155;5481
38;1539;2362
39;3218;4833
40;7346;7115
41;6241;744
42;875;390
43;3663;1293
44;5309;5655
45;7649;2174
46;925;7891
47;5056;6565
48;1184;383
49;4712;2180
50;7926;3074
51;7345;5570
52;1687;1731
53;1887;7367
54;4767;7339
55;439;2880
56;1933;1827
57;3675;7726
58;6388;4415
59;7802;2145
60;1317;6678
61;5620;3357
62;6192;2003
63;6712;2686
64;7768;3325
65;5716;6681
66;972;7265
67;1336;1914
68;6551;7284
69;2250;647
70;1880;4763
71;6601;6998
72;1450;5063
73;6823;7286
74;5935;5583
75;4725;7595
76;7248;6078
77;5759;4978
78;2952;754
79;3596;595
80;5519;2525
81;147;996
82;322;1038
83;3766;4084
84;1560;6382
85;5910;144
86;6530;4417
87;7084;6214
88;5963;5847
89;6886;7338
90;2315;956
91;1046;4169
92;3548;796
93;13;4021
94;6207;7632
95;4587;1448
96;4734;2378
97;7822;2677
98;2262;177
99;6736;5282
