7647;1;5
5901;6;2
3842;9;10
965;3;0
1740;3;10
763;6;7
8232;7;10
1113;4;10
1924;8;10
4903;2;10
2756;4;1
1074;6;10
3801;3;8
8258;2;8
2059;4;4
7433;3;4
6246;6;10
3552;7;8
9929;3;1
1552;9;2
2826;8;2
1640;5;1
1629;3;4
7751;6;6
4620;3;8
5130;1;10
4756;2;0
3362;5;9
198;1;6
5165;7;7
1744;7;6
9657;0;9
941;5;3
2334;7;7
3873;8;6
9790;3;0
7269;2;4
4702;9;0
3123;0;7
7669;9;2
903;0;4
9350;2;2
4796;7;3
7622;4;0
4456;1;7
5556;9;4
6602;4;7
7941;4;5
2152;2;6
3307;3;9
753;2;0
6079;5;7
2077;6;0
9334;3;10
3250;4;10
3326;6;3
9658;0;0
6046;1;10
544;2;2
6001;10;2
8701;3;0
1136;6;2
4451;0;2
1840;6;6
7680;2;10
5626;9;0
3504;5;3
242;9;4
1438;7;4
3455;1;3
6924;9;10
6160;4;4
8297;1;3
9244;7;8
26;9;7
2155;8;10
6846;2;3
4023;9;2
6062;9;1
4322;2;2
6079;7;8
2737;7;0
2886;7;2
6852;6;8
6352;6;1
5365;8;5
8120;1;9
835;3;4
3976;8;10
3506;4;10
2587;8;4
144;0;8
8932;0;3
1462;8;7
2531;7;1
2925;6;1
7279;2;9
2408;0;5
6873;2;8
8402;1;1
8593;8;3
7239;1;8
2999;1;2
4172;5;5
2879;0;2
2627;0;2
9790;1;7
186;1;2
3639;9;6
5754;9;7
6188;1;3
7138;6;2
2722;7;2
9534;4;7
8992;5;3
9766;9;10
3082;6;8
7208;1;7
3650;4;8
0;4;3
8355;1;3
5159;3;1
2677;3;6
1459;3;4
9075;10;9
5539;3;10
4684;7;0
9066;9;3
7855;1;8
6861;8;2
1948;9;10
9180;8;5
8624;2;10
6056;4;8
9181;1;3
2205;5;9
6;7;2
5912;8;6
3421;1;4
4528;10;6
4534;4;3
7148;5;2
6514;6;0
6520;8;8
5624;9;9
8860;0;0
5432;5;5
7830;5;4
191;0;2
7504;0;10
2447;1;9
9702;9;10
7416;10;1
6471;1;4
4013;8;5
6551;9;5
1940;3;2
8299;10;1
6472;9;3
4122;6;6
5361;6;9
302;0;7
3760;3;6
4575;0;2
1500;5;6
225;6;9
2214;5;4
2182;7;8
8078;5;5
8171;0;9
8876;8;3
464;2;1
5772;2;1
9130;4;4
2601;7;1
7725;7;9
9624;7;4
8226;1;1
1639;10;8
2957;1;0
4624;1;3
3059;9;9
9853;9;1
814;5;1
406;3;8
8475;9;6
3691;6;4
2935;4;7
9704;3;9
5108;1;3
7835;6;2
5066;6;7
9735;6;9
3077;1;4
2122;5;5
9249;2;9
1279;9;4
3424;6;0
5024;7;5
8813;4;10
9754;3;0
2417;1;1
1045;6;9
2469;9;3
6191;1;10
1873;2;4
1870;0;3
9695;3;3
6325;10;8
6521;5;5
5426;5;6
8813;9;0
2260;0;9
323;7;1
4740;5;5
816;0;0
3694;4;7
4894;0;0
9065;4;6
9846;5;10
5296;5;3
7678;0;0
4182;2;1
9889;7;8
1982;6;7
7851;5;2
6689;5;2
3005;4;9
741;6;8
3656;6;0
2408;5;9
5325;9;7
3439;9;8
1432;4;1
60;2;4
8299;7;4
5628;9;9
5823;10;9
5609;4;6
2134;5;10
8838;8;4
4718;7;4
8133;5;8
4304;10;9
8453;2;9
7232;5;9
9142;0;6
9675;0;9
3088;3;2
5574;0;7
7510;6;4
1798;9;5
3270;7;5
9413;2;10
3369;5;10
2388;2;3
4704;5;7
8287;10;2
1225;2;1
6929;6;1
346;8;2
8559;7;5
6872;4;1
8423;4;10
3603;0;6
6478;9;7
7901;9;2
4710;10;10
6935;8;5
6844;6;9
3420;5;3
4175;6;5
6443;9;7
8024;2;9
2119;1;7
708;10;7
5718;7;1
4304;2;5
5429;3;10
7028;0;4
4331;6;2
3707;8;10
95;8;2
1091;6;6
7792;8;3
2923;6;2
4536;4;2
7394;7;9
903;3;2
8645;2;6
6423;7;0
5110;5;5
7457;3;3
568;1;9
9503;5;3
2030;6;7
5674;7;10
1789;1;6
7137;3;6
569;4;9
5668;1;9
2844;1;4
5651;3;7
282;2;9
9075;0;8
9876;3;2
357;3;2
2097;7;4
9036;6;1
6022;7;6
1863;6;3
9822;1;4
3639;9;10
8590;7;8
3341;4;9
7253;5;4
2695;8;3
7641;1;0
2114;3;8
7817;7;6
2479;6;10
2590;6;5
7595;2;7
3076;6;3
192;2;1
569;4;9
5866;3;7
8779;4;5
1280;3;4
4154;6;1
629;4;0
4910;10;10
5670;3;0
8878;4;7
7023;2;9
1173;4;6
4898;5;3
1523;10;2
2293;5;2
3118;5;1
1970;2;7
9453;5;3
6649;7;9
3828;2;4
8939;0;9
1628;6;1
4131;2;5
6843;3;7
3239;2;6
2843;4;3
775;8;0
5987;0;9
1493;8;1
5262;0;4
7428;1;8
7879;3;8
62;3;10
3918;6;8
2545;10;0
4915;7;8
5539;7;6
7757;8;9
7972;10;5
728;10;1
7082;1;2
3195;1;0
3551;1;4
5565;6;3
5483;10;4
2724;3;8
9922;9;8
2396;4;5
354;4;8
4891;3;3
2249;4;3
1336;9;8
8524;2;5
1133;10;3
3541;0;7
1859;1;9
761;0;4
7430;3;7
6768;3;5
9865;9;0
2426;2;1
611;6;9
2406;9;2
8122;3;10
8754;7;9
53;1;9
7617;2;10
492;9;1
